title,car_make,car_model,year_cleaned,mileage_cleaned,range_km_cleaned,months_to_eu_cleaned,owners_cleaned,has_condition_issue,has_warranty,trim_level,region,is_dealer,dealer_name,days_listed,price_cleaned,predicted_value,value_difference,url
Nissan Leaf,Nissan,Leaf,2020.0,22750.0,270.0,19.9,2.0,0.0,0.0,Ukjent,Vestland,0.0,,0,144532.0,154179,9647,https://www.finn.no/mobility/item/451920189
Nissan Leaf,Nissan,Leaf,2021.0,63000.0,385.0,17.166666666666668,1.0,0.0,1.0,Ukjent,Annet,1.0,Beret AS,0,179434.0,189045,9611,https://www.finn.no/mobility/item/428988988
Nissan Leaf,Nissan,Leaf,2018.0,145000.0,385.0,12.0,1.0,0.0,0.0,Acenta,Oslo/Akershus,1.0,CARHOUSE AS,0,89000.0,98543,9543,https://www.finn.no/mobility/item/451633192
Nissan Leaf,Nissan,Leaf,2022.0,51000.0,385.0,3.466666666666667,2.0,0.0,1.0,N-Connecta,Oslo/Akershus,0.0,,0,199000.0,208505,9505,https://www.finn.no/mobility/item/444288427
Nissan Leaf,Nissan,Leaf,2023.0,46000.0,278.0,12.0,1.0,0.0,1.0,Ukjent,Østfold,1.0,Dahles Auto Moss AS,0,189900.0,199224,9324,https://www.finn.no/mobility/item/435621123
Nissan Leaf,Nissan,Leaf,2018.0,91900.0,270.0,12.0,1.0,0.0,1.0,Ukjent,Rogaland,1.0,SANDNES BRUKTBIL AS,0,109000.0,118191,9191,https://www.finn.no/mobility/item/451919768
Nissan Leaf,Nissan,Leaf,2019.0,82284.0,385.0,12.0,1.0,0.0,1.0,Tekna,Oslo/Akershus,1.0,Auto Solution AS,0,114800.0,123800,9000,https://www.finn.no/mobility/item/452656488
Nissan Leaf,Nissan,Leaf,2020.0,74000.0,385.0,12.0,1.0,0.0,1.0,Tekna,Oslo/Akershus,1.0,AUTO 24/7 AS,0,139999.0,148993,8994,https://www.finn.no/mobility/item/448725506
Nissan Leaf,Nissan,Leaf,2021.0,79518.0,270.0,8.566666666666666,1.0,0.0,1.0,N-Connecta,Vestfold/Telemark,1.0,Mobile Bø AS,0,149900.0,158879,8979,https://www.finn.no/mobility/item/451464875
Nissan Leaf,Nissan,Leaf,2018.0,155293.0,385.0,9.033333333333331,3.0,0.0,0.0,Ukjent,Vestland,0.0,,0,94532.0,103487,8955,https://www.finn.no/mobility/item/452535383
Nissan Leaf,Nissan,Leaf,2019.0,120800.0,270.0,23.4,1.0,0.0,1.0,Ukjent,Annet,1.0,Overhalla Speed Auto,0,99932.0,108830,8898,https://www.finn.no/mobility/item/447625689
Nissan Leaf,Nissan,Leaf,2022.0,117100.0,385.0,12.0,1.0,0.0,1.0,Tekna,Annet,1.0,Rebil,0,174900.0,183786,8886,https://www.finn.no/mobility/item/451924999
Nissan Leaf,Nissan,Leaf,2022.0,58500.0,284.0,12.0,1.0,0.0,1.0,Ukjent,Østfold,1.0,Gretland Bil AS,0,159000.0,167829,8829,https://www.finn.no/mobility/item/452810723
Nissan Leaf,Nissan,Leaf,2022.0,24400.0,295.0,12.0,1.0,0.0,1.0,Ukjent,Annet,1.0,GOL AUTO AS,0,179000.0,187705,8705,https://www.finn.no/mobility/item/442869536
Nissan Leaf,Nissan,Leaf,2018.0,82500.0,270.0,-1.0666666666666669,1.0,0.0,0.0,Ukjent,Trøndelag,0.0,,0,119532.0,128185,8653,https://www.finn.no/mobility/item/449854520
Nissan Leaf,Nissan,Leaf,2023.0,42130.0,278.0,12.0,1.0,0.0,1.0,N-Connecta,Vestland,1.0,Vest Motor AS,0,199000.0,207614,8614,https://www.finn.no/mobility/item/450307464
Nissan Leaf,Nissan,Leaf,2018.0,82000.0,270.0,24.1,2.0,0.0,0.0,Tekna,Annet,0.0,,0,118000.0,126469,8469,https://www.finn.no/mobility/item/451641883
Nissan Leaf,Nissan,Leaf,2022.0,18026.0,270.0,12.0,1.0,0.0,1.0,Ukjent,Annet,1.0,ARM Bil AS,0,189000.0,197318,8318,https://www.finn.no/mobility/item/449924579
Nissan Leaf,Nissan,Leaf,2018.0,110000.0,270.0,3.933333333333333,2.0,0.0,0.0,Ukjent,Oslo/Akershus,0.0,,0,95000.0,103297,8297,https://www.finn.no/mobility/item/448710392
Nissan Leaf,Nissan,Leaf,2018.0,35000.0,270.0,12.0,1.0,0.0,1.0,Tekna,Østfold,1.0,Brennes Auto AS,0,139000.0,147295,8295,https://www.finn.no/mobility/item/444945210
Nissan Leaf,Nissan,Leaf,2020.0,52787.0,270.0,12.0,1.0,0.0,1.0,Ukjent,Rogaland,1.0,BILTEKNIKK 1 AS,0,149000.0,157276,8276,https://www.finn.no/mobility/item/441193877
Nissan Leaf,Nissan,Leaf,2021.0,77600.0,385.0,13.466666666666669,1.0,0.0,1.0,N-Connecta,Trøndelag,1.0,tm bil,0,174532.0,182806,8274,https://www.finn.no/mobility/item/435056799
Nissan Leaf,Nissan,Leaf,2019.0,141000.0,270.0,12.0,1.0,0.0,0.0,Ukjent,Sørlandet,1.0,TG BIL & BÅT AS,0,99000.0,107208,8208,https://www.finn.no/mobility/item/450860953
Nissan Leaf,Nissan,Leaf,2018.0,95700.0,385.0,12.0,1.0,0.0,1.0,Ukjent,Rogaland,1.0,VELAND AUTO AS,0,98900.0,107070,8170,https://www.finn.no/mobility/item/452408394
Nissan Leaf,Nissan,Leaf,2023.0,48500.0,285.0,12.0,1.0,0.0,1.0,Ukjent,Annet,1.0,ONSRUD AUTO GARDERMOEN AS,0,179000.0,187032,8032,https://www.finn.no/mobility/item/450752610
Nissan Leaf,Nissan,Leaf,2022.0,50137.0,285.0,8.366666666666667,1.0,0.0,1.0,Visia,Annet,1.0,Mobile Kongsvinger,0,158900.0,166869,7969,https://www.finn.no/mobility/item/452509755
Nissan Leaf,Nissan,Leaf,2022.0,36500.0,270.0,12.0,1.0,0.0,1.0,Ukjent,Annet,1.0,Auto 8-8 Ålesund AS,0,189000.0,196815,7815,https://www.finn.no/mobility/item/447538039
Nissan Leaf,Nissan,Leaf,2020.0,81812.0,385.0,12.0,1.0,0.0,1.0,N-Connecta,Østfold,1.0,Brennes Auto AS,0,169900.0,177638,7738,https://www.finn.no/mobility/item/447361315
Nissan Leaf,Nissan,Leaf,2020.0,53714.0,385.0,6.7,1.0,0.0,0.0,N-Connecta,Vestfold/Telemark,0.0,,0,169532.0,177267,7735,https://www.finn.no/mobility/item/448950023
Nissan Leaf,Nissan,Leaf,2023.0,14500.0,278.0,12.0,1.0,0.0,0.0,Ukjent,Annet,1.0,ØKERN BILAUKSJON AS,0,212500.0,220216,7716,https://www.finn.no/mobility/item/436868043
Nissan Leaf,Nissan,Leaf,2021.0,63500.0,270.0,12.0,1.0,0.0,1.0,Ukjent,Rogaland,1.0,dahl auto,0,147000.0,154714,7714,https://www.finn.no/mobility/item/452503389
Nissan Leaf,Nissan,Leaf,2020.0,132200.0,270.0,12.0,1.0,0.0,0.0,Tekna,Vestfold/Telemark,1.0,All-Star Company AS,0,128800.0,136487,7687,https://www.finn.no/mobility/item/452442144
Nissan Leaf,Nissan,Leaf,2018.0,112000.0,270.0,7.0,2.0,0.0,0.0,Tekna,Østfold,0.0,,0,104434.0,112086,7652,https://www.finn.no/mobility/item/420776811
Nissan Leaf,Nissan,Leaf,2019.0,85000.0,270.0,12.933333333333334,1.0,0.0,1.0,Tekna,Annet,0.0,,0,119900.0,127549,7649,https://www.finn.no/mobility/item/440534587
Nissan Leaf,Nissan,Leaf,2018.0,137000.0,270.0,6.0,4.0,0.0,0.0,Tekna,Annet,0.0,,0,89900.0,97543,7643,https://www.finn.no/mobility/item/452133070
Nissan Leaf,Nissan,Leaf,2021.0,12000.0,270.0,21.266666666666666,1.0,0.0,1.0,Ukjent,Annet,1.0,Polar Bil AS,0,169434.0,177057,7623,https://www.finn.no/mobility/item/443204395
Nissan Leaf,Nissan,Leaf,2024.0,17869.0,278.0,28.4,1.0,0.0,1.0,Tekna,Oslo/Akershus,1.0,Mobile Skøyen AS,0,228900.0,236507,7607,https://www.finn.no/mobility/item/448213637
Nissan Leaf,Nissan,Leaf,2018.0,57547.0,270.0,12.0,1.0,0.0,1.0,Ukjent,Oslo/Akershus,1.0,RSA BIL Drammen,0,129000.0,136557,7557,https://www.finn.no/mobility/item/451463603
Nissan Leaf,Nissan,Leaf,2023.0,26000.0,285.0,17.933333333333334,1.0,0.0,1.0,Visia,Vestland,1.0,Mobile Kokstad AS,0,199900.0,207455,7555,https://www.finn.no/mobility/item/424302880
Nissan Leaf,Nissan,Leaf,2020.0,90000.0,270.0,12.0,1.0,0.0,1.0,Ukjent,Annet,1.0,Nardo Bil Sandmoen,0,139900.0,147438,7538,https://www.finn.no/mobility/item/449462078
Nissan Leaf,Nissan,Leaf,2016.0,71250.0,385.0,12.0,1.0,0.0,0.0,Ukjent,Østfold,1.0,Ernø Auto AS,0,58700.0,66223,7523,https://www.finn.no/mobility/item/452634168
Nissan Leaf,Nissan,Leaf,2021.0,80000.0,385.0,12.0,1.0,0.0,1.0,Ukjent,Oslo/Akershus,1.0,Oslo Bilsenter AS,0,178000.0,185520,7520,https://www.finn.no/mobility/item/447109187
Nissan Leaf,Nissan,Leaf,2018.0,60000.0,270.0,12.0,1.0,0.0,1.0,Ukjent,Trøndelag,1.0,Bertel O. Steen Stjørdal,0,119000.0,126477,7477,https://www.finn.no/mobility/item/447074704
Nissan Leaf,Nissan,Leaf,2019.0,50000.0,270.0,12.0,1.0,0.0,0.0,Tekna,Oslo/Akershus,0.0,,0,128000.0,135417,7417,https://www.finn.no/mobility/item/449441976
