title,car_make,car_model,year_cleaned,mileage_cleaned,range_km_cleaned,months_to_eu_cleaned,owners_cleaned,has_condition_issue,has_warranty,trim_level,region,is_dealer,dealer_name,days_listed,status,price_cleaned,predicted_value,value_difference,url
Tesla Model 3,Tesla,Model 3,2021.0,100000.0,614.0,12.0,1.0,0.0,1.0,Long Range,Oslo/Akershus,1.0,M.K AUTO AS,0,Aktiv,239532.0,255372,15840,https://www.finn.no/mobility/item/451053233
Tesla Model 3,Tesla,Model 3,2024.0,34000.0,629.0,12.0,1.0,0.0,1.0,Ukjent,Østfold,1.0,Dahles Auto Råbekken,0,Aktiv,399000.0,414783,15783,https://www.finn.no/mobility/item/449477881
Tesla Model 3,Tesla,Model 3,2020.0,52000.0,530.0,12.0,1.0,0.0,1.0,Performance,Oslo/Akershus,1.0,AUTO B AS,0,Aktiv,265000.0,280767,15767,https://www.finn.no/mobility/item/452665347
Tesla Model 3,Tesla,Model 3,2023.0,48746.0,602.0,12.0,1.0,0.0,1.0,Long Range,Rogaland,1.0,AVIBIL AS,0,Aktiv,329000.0,344746,15746,https://www.finn.no/mobility/item/452576223
Tesla Model 3,Tesla,Model 3,2023.0,37700.0,602.0,12.933333333333334,1.0,0.0,1.0,Long Range,Oslo/Akershus,0.0,,0,Aktiv,367343.0,383056,15713,https://www.finn.no/mobility/item/436913265
Tesla Model 3,Tesla,Model 3,2020.0,107600.0,560.0,12.0,1.0,0.0,1.0,Long Range,Annet,1.0,Rebil,0,Aktiv,198900.0,214401,15501,https://www.finn.no/mobility/item/452532784
Tesla Model 3,Tesla,Model 3,2024.0,20000.0,629.0,12.0,1.0,0.0,1.0,Long Range,Annet,1.0,AUTOFORM AS,0,Aktiv,399000.0,414491,15491,https://www.finn.no/mobility/item/452946512
Tesla Model 3,Tesla,Model 3,2024.0,18500.0,629.0,29.766666666666666,1.0,0.0,1.0,Ukjent,Annet,0.0,,0,Aktiv,399000.0,414485,15485,https://www.finn.no/mobility/item/421506487
Tesla Model 3,Tesla,Model 3,2019.0,62821.0,560.0,12.0,1.0,0.0,1.0,Performance,Annet,1.0,Mycar Billingstad,0,Aktiv,238900.0,254245,15345,https://www.finn.no/mobility/item/452404449
Tesla Model 3,Tesla,Model 3,2019.0,111000.0,560.0,12.0,2.0,0.0,1.0,Long Range,Vestland,1.0,Car4Sale AS,0,Aktiv,189900.0,205228,15328,https://www.finn.no/mobility/item/452498597
Tesla Model 3,Tesla,Model 3,2019.0,113000.0,560.0,-9.966666666666669,4.0,0.0,0.0,Long Range,Nord-Norge,0.0,,0,Aktiv,187305.0,202162,14857,https://www.finn.no/mobility/item/350823641
Tesla Model 3,Tesla,Model 3,2022.0,43200.0,547.0,12.0,1.0,0.0,1.0,Performance,Vestland,1.0,AutoSale AS,0,Aktiv,339900.0,354734,14834,https://www.finn.no/mobility/item/446113652
Tesla Model 3,Tesla,Model 3,2019.0,101000.0,560.0,12.0,1.0,0.0,1.0,Long Range,Annet,1.0,Bilzentrum AS,0,Aktiv,198000.0,212742,14742,https://www.finn.no/mobility/item/453455373
Tesla Model 3,Tesla,Model 3,2019.0,96000.0,560.0,12.0,1.0,0.0,1.0,Long Range,Annet,1.0,Pitstop Bilsalg Ny AS,0,Aktiv,198982.0,213664,14682,https://www.finn.no/mobility/item/450168735
Tesla Model 3,Tesla,Model 3,2019.0,103000.0,560.0,12.0,1.0,0.0,1.0,Long Range,Rogaland,1.0,Holmane Bil AS,0,Aktiv,199000.0,213595,14595,https://www.finn.no/mobility/item/452638170
Tesla Model 3,Tesla,Model 3,2019.0,78400.0,560.0,12.0,1.0,0.0,1.0,Long Range,Annet,1.0,Rebil,0,Aktiv,208900.0,223473,14573,https://www.finn.no/mobility/item/451490136
Tesla Model 3,Tesla,Model 3,2021.0,74700.0,580.0,9.066666666666666,1.0,0.0,1.0,Long Range,Rogaland,1.0,AASTRAND AUTO AS,0,Aktiv,259000.0,273443,14443,https://www.finn.no/mobility/item/449745885
Tesla Model 3,Tesla,Model 3,2019.0,145000.0,409.0,17.733333333333334,2.0,0.0,0.0,Ukjent,Vestland,0.0,,0,Aktiv,144434.0,158751,14317,https://www.finn.no/mobility/item/408858993
Tesla Model 3,Tesla,Model 3,2019.0,75000.0,560.0,15.733333333333333,1.0,0.0,0.0,Long Range,Vestland,0.0,,0,Aktiv,224532.0,238726,14194,https://www.finn.no/mobility/item/451652735
Tesla Model 3,Tesla,Model 3,2019.0,73000.0,560.0,12.0,1.0,0.0,0.0,Long Range,Vestfold/Telemark,1.0,ELDORSEN AUTO AS,0,Aktiv,229900.0,244007,14107,https://www.finn.no/mobility/item/444989333
Tesla Model 3,Tesla,Model 3,2024.0,14990.0,513.0,28.0,1.0,0.0,1.0,Standard Range,Annet,0.0,,0,Aktiv,329900.0,343908,14008,https://www.finn.no/mobility/item/452358981
Tesla Model 3,Tesla,Model 3,2019.0,100000.0,560.0,12.0,1.0,0.0,1.0,Long Range,Østfold,1.0,Bare Bil AS,0,Aktiv,199900.0,213838,13938,https://www.finn.no/mobility/item/451381713
Tesla Model 3,Tesla,Model 3,2019.0,118000.0,560.0,12.0,1.0,0.0,1.0,Ukjent,Østfold,1.0,Dahles Auto Moss AS,0,Aktiv,164900.0,178759,13859,https://www.finn.no/mobility/item/449094105
Tesla Model 3,Tesla,Model 3,2021.0,67000.0,567.0,12.0,1.0,0.0,1.0,Performance,Annet,1.0,Berg Auto AS,0,Aktiv,289900.0,303637,13737,https://www.finn.no/mobility/item/452365398
Tesla Model 3,Tesla,Model 3,2019.0,91000.0,560.0,12.0,1.0,0.0,1.0,Long Range,Annet,1.0,Pitstop Bilsalg Ny AS,0,Aktiv,198982.0,212618,13636,https://www.finn.no/mobility/item/450795566
Tesla Model 3,Tesla,Model 3,2021.0,40706.0,448.0,18.4,2.0,0.0,0.0,Ukjent,Annet,0.0,,0,Aktiv,222532.0,236163,13631,https://www.finn.no/mobility/item/452450227
