title,year_cleaned,mileage_cleaned,range_km_cleaned,months_to_eu_cleaned,owners_cleaned,has_condition_issue,has_warranty,trim_level,region,is_dealer,dealer_name,days_listed,price_cleaned,predicted_value,value_difference,url
Nissan Leaf,2018,71000.0,270.0,12.0,2.0,0,1.0,Ukjent,Vestland,1,Car4Sale AS,0,114900.0,126980,12080,https://www.finn.no/mobility/item/452774661
Nissan Leaf,2018,95700.0,270.0,12.0,2.0,0,1.0,Ukjent,Rogaland,1,VELAND AUTO AS,0,98900.0,110944,12044,https://www.finn.no/mobility/item/452408394
Nissan Leaf,2021,93000.0,385.0,12.0,1.0,0,1.0,Ukjent,Annet,1,Rebil Salgshjelp,0,164999.0,176959,11960,https://www.finn.no/mobility/item/442440859
Nissan Leaf,2022,67000.0,270.0,12.0,1.0,0,1.0,N-Connecta,Annet,1,Panther Auto AS,0,149900.0,161853,11953,https://www.finn.no/mobility/item/447550976
Nissan Leaf,2022,20600.0,270.0,12.0,2.0,0,1.0,Ukjent,Østfold,1,Brennes Auto Moss AS,0,195000.0,206930,11930,https://www.finn.no/mobility/item/452957750
Nissan Leaf,2019,65000.0,270.0,12.0,2.0,0,1.0,Ukjent,Østfold,1,Dahles Auto Moss AS,0,129900.0,141820,11920,https://www.finn.no/mobility/item/439021077
Nissan Leaf,2016,87000.0,270.0,-0.1333333333333333,1.0,0,0.0,Ukjent,Annet,0,,0,34532.0,46374,11842,https://www.finn.no/mobility/item/451448124
Nissan Leaf,2023,70393.0,385.0,21.933333333333334,1.0,0,1.0,Ukjent,Oslo/Akershus,0,,0,210000.0,221787,11787,https://www.finn.no/mobility/item/450382567
Nissan Leaf,2022,117100.0,385.0,12.0,1.0,0,1.0,Tekna,Annet,1,Rebil,0,174900.0,186592,11692,https://www.finn.no/mobility/item/451924999
Nissan Leaf,2023,84811.0,278.0,10.666666666666666,1.0,0,1.0,Ukjent,Annet,1,Mobile Hamar AS,0,169000.0,180515,11515,https://www.finn.no/mobility/item/452833845
Nissan Leaf,2022,28000.0,385.0,6.666666666666667,1.0,0,1.0,Ukjent,Annet,1,DRIVALIA LEASE NORGE AS,0,219000.0,230508,11508,https://www.finn.no/mobility/item/449340577
Nissan Leaf,2018,82000.0,270.0,24.1,2.0,0,0.0,Tekna,Annet,0,,0,118000.0,129500,11500,https://www.finn.no/mobility/item/451641883
Nissan Leaf,2020,56400.0,385.0,12.0,1.0,0,1.0,Ukjent,Annet,1,AUTOVAULT AS,0,169900.0,181384,11484,https://www.finn.no/mobility/item/450460112
Nissan Leaf,2020,38595.0,385.0,12.0,1.0,0,1.0,N-Connecta,Annet,1,Hokksund Auto AS,0,189000.0,200463,11463,https://www.finn.no/mobility/item/450273719
Nissan Leaf,2020,52787.0,270.0,12.0,1.0,0,1.0,Ukjent,Rogaland,1,BILTEKNIKK 1 AS,0,149000.0,160215,11215,https://www.finn.no/mobility/item/441193877
Nissan Leaf,2018,153500.0,270.0,7.0,3.0,0,0.0,Ukjent,Oslo/Akershus,0,,0,84532.0,95736,11204,https://www.finn.no/mobility/item/451546128
Nissan Leaf,2020,57978.0,385.0,12.0,1.0,0,1.0,N-Connecta,Annet,1,Storhamar Bil AS,0,169000.0,180150,11150,https://www.finn.no/mobility/item/452796100
Nissan Leaf,2021,82500.0,385.0,12.0,2.0,0,1.0,Ukjent,Østfold,1,Brennes Auto Moss AS,0,169000.0,179766,10766,https://www.finn.no/mobility/item/448245939
Nissan Leaf,2021,64000.0,270.0,4.933333333333334,1.0,0,0.0,N-Connecta,Annet,0,,0,144532.0,155227,10695,https://www.finn.no/mobility/item/447469776
Nissan Leaf,2015,77330.0,270.0,15.6,1.0,0,0.0,Tekna,Vestland,0,,0,41532.0,52225,10693,https://www.finn.no/mobility/item/449913229
Nissan Leaf,2018,111000.0,270.0,12.0,1.0,0,0.0,Ukjent,Sørlandet,1,TG BIL & BÅT AS,0,99000.0,109615,10615,https://www.finn.no/mobility/item/450903887
Nissan Leaf,2020,59000.0,270.0,9.033333333333331,2.0,0,0.0,Ukjent,Annet,0,,0,139532.0,150063,10531,https://www.finn.no/mobility/item/451529508
Nissan Leaf,2021,55000.0,385.0,13.033333333333331,1.0,0,1.0,N-Connecta,Oslo/Akershus,1,Birger N. Haug Ski,0,189900.0,200410,10510,https://www.finn.no/mobility/item/452512931
Nissan Leaf,2018,134007.0,270.0,17.566666666666666,1.0,0,0.0,Ukjent,Annet,0,,0,99000.0,109502,10502,https://www.finn.no/mobility/item/450178852
Nissan Leaf,2018,125000.0,270.0,12.0,1.0,0,1.0,N-Connecta,Annet,1,RSA BIL Trondheim,0,109000.0,119322,10322,https://www.finn.no/mobility/item/451833540
Nissan Leaf,2021,77600.0,385.0,13.466666666666669,1.0,0,1.0,N-Connecta,Trøndelag,1,tm bil,0,174532.0,184757,10225,https://www.finn.no/mobility/item/435056799
Nissan Leaf,2020,84000.0,385.0,9.6,5.0,0,0.0,Ukjent,Oslo/Akershus,0,,0,157532.0,167752,10220,https://www.finn.no/mobility/item/453313855
