finn_id,title,url,price_cleaned,year_cleaned,mileage_cleaned,battery_capacity_cleaned,effect_cleaned,months_to_eu_cleaned,owners_cleaned,has_condition_issue,first_seen_date
292475198,Nissan Leaf,https://www.finn.no/mobility/item/292475198,169000.0,2018,39800.0,40.0,150.0,12.0,2.0,0,2026-03-02
439627708,Nissan Leaf,https://www.finn.no/mobility/item/439627708,59434.0,2016,100021.0,30.0,109.0,1.0666666666666667,2.0,0,2026-03-02
442181534,Nissan Leaf,https://www.finn.no/mobility/item/442181534,55000.0,2014,154000.0,40.0,150.0,12.0,2.0,0,2026-03-02
451834661,Nissan Leaf,https://www.finn.no/mobility/item/451834661,189900.0,2020,69500.0,62.0,218.0,12.0,2.0,0,2026-03-02
441720972,Nissan Leaf,https://www.finn.no/mobility/item/441720972,25000.0,2017,157800.0,30.0,109.0,-27.466666666666665,1.0,0,2026-03-02
451641454,Nissan Leaf,https://www.finn.no/mobility/item/451641454,189000.0,2021,63200.0,59.0,217.0,12.0,2.0,0,2026-03-02
451832445,Nissan Leaf,https://www.finn.no/mobility/item/451832445,209000.0,2021,57000.0,62.0,218.0,12.0,1.0,0,2026-03-02
441605315,Nissan Leaf,https://www.finn.no/mobility/item/441605315,179000.0,2020,49000.0,40.0,150.0,12.0,2.0,0,2026-03-02
453249223,Nissan Leaf,https://www.finn.no/mobility/item/453249223,34900.0,2015,116200.0,40.0,109.0,12.0,2.0,0,2026-03-02
451777175,Nissan Leaf,https://www.finn.no/mobility/item/451777175,134000.0,2019,58000.0,40.0,150.0,16.033333333333335,2.0,0,2026-03-02
453112654,Nissan Leaf,https://www.finn.no/mobility/item/453112654,29942.0,2013,108000.0,40.0,109.0,23.966666666666665,3.0,0,2026-03-02
452469723,Nissan Leaf,https://www.finn.no/mobility/item/452469723,22000.0,2013,114000.0,24.0,109.0,12.0,2.0,0,2026-03-02
445804901,Nissan Leaf,https://www.finn.no/mobility/item/445804901,114432.0,2019,99850.0,40.0,150.0,8.7,1.0,0,2026-03-02
452409778,Nissan Leaf,https://www.finn.no/mobility/item/452409778,159000.0,2020,74000.0,40.0,150.0,12.0,2.0,0,2026-03-02
452395330,Nissan Leaf,https://www.finn.no/mobility/item/452395330,129000.0,2018,67800.0,40.0,150.0,2.966666666666667,2.0,0,2026-03-02
452379736,Nissan Leaf,https://www.finn.no/mobility/item/452379736,173532.0,2020,44000.0,62.0,215.0,-24.5,1.0,0,2026-03-02
446617108,Nissan Leaf,https://www.finn.no/mobility/item/446617108,169932.0,2020,86000.0,62.0,215.0,2.3666666666666667,2.0,0,2026-03-02
451464875,Nissan Leaf,https://www.finn.no/mobility/item/451464875,149900.0,2021,79518.0,40.0,150.0,8.6,2.0,0,2026-03-02
451011559,Nissan Leaf,https://www.finn.no/mobility/item/451011559,229000.0,2023,73582.0,59.0,218.0,13.533333333333333,2.0,0,2026-03-02
451126986,Nissan Leaf,https://www.finn.no/mobility/item/451126986,24900.0,2013,156800.0,40.0,109.0,12.0,3.0,0,2026-03-02
451327405,Nissan Leaf,https://www.finn.no/mobility/item/451327405,27500.0,2016,137800.0,40.0,109.0,12.0,2.0,0,2026-03-02
449909764,Nissan Leaf,https://www.finn.no/mobility/item/449909764,91532.0,2018,155000.0,40.0,150.0,15.1,2.0,0,2026-03-02
449714209,Nissan Leaf,https://www.finn.no/mobility/item/449714209,199900.0,2023,51000.0,39.0,150.0,15.666666666666666,1.0,0,2026-03-02
448242354,Nissan Leaf,https://www.finn.no/mobility/item/448242354,179000.0,2021,85000.0,40.0,218.0,12.0,2.0,0,2026-03-02
449494112,Nissan Leaf,https://www.finn.no/mobility/item/449494112,49000.0,2013,117755.0,24.0,109.0,18.2,2.0,0,2026-03-02
449360296,Nissan Leaf,https://www.finn.no/mobility/item/449360296,40800.0,2013,54500.0,40.0,109.0,12.0,2.0,0,2026-03-02
447454710,Nissan Leaf,https://www.finn.no/mobility/item/447454710,115000.0,2018,97600.0,40.0,150.0,6.833333333333333,2.0,0,2026-03-02
448106701,Nissan Leaf,https://www.finn.no/mobility/item/448106701,239000.0,2024,13900.0,40.0,150.0,12.0,2.0,0,2026-03-02
444938061,Nissan Leaf,https://www.finn.no/mobility/item/444938061,173900.0,2020,64363.0,40.0,218.0,12.0,2.0,0,2026-03-02
441508099,Nissan Leaf,https://www.finn.no/mobility/item/441508099,158900.0,2020,46909.0,40.0,150.0,0.06666666666666667,2.0,0,2026-03-02
441012108,Nissan Leaf,https://www.finn.no/mobility/item/441012108,169900.0,2021,30700.0,40.0,150.0,12.0,1.0,0,2026-03-02
441012966,Nissan Leaf,https://www.finn.no/mobility/item/441012966,144900.0,2021,40700.0,40.0,150.0,12.0,1.0,0,2026-03-02
440200253,Nissan Leaf,https://www.finn.no/mobility/item/440200253,198800.0,2022,26489.0,40.0,150.0,12.0,2.0,0,2026-03-02
